Name,Faculty Count,Publishing Count,Adjusted Publishing Count,Publishing Count Average,Adjusted Publishing Count Average
Simula UiB,14,116,40.8952381,8.285714286,2.921088435
University of Newcastle,30,1140,234.7528011,38,7.825093371
University of Alabama - Huntsville,4,8,2.033333333,2,0.508333333
UFU,7,9,1.838095238,1.285714286,0.262585034
Masdar Institute,43,635,185.4119048,14.76744186,4.311904762
University of Colorado - Denver,5,17,6.911111111,3.4,1.382222222
TU Braunschweig,103,1848,502.6079365,17.94174757,4.879688704
OHSU,11,59,32.83333333,5.363636364,2.984848485
University of Tulsa,25,172,62.04902597,6.88,2.481961039
North Dakota State University,1,1,0.142857143,1,0.142857143
NYU Shanghai,20,177,47.54761905,8.85,2.377380952
University of Missouri - Kansas City,15,53,26.9,3.533333333,1.793333333
University of Kiel,62,693,256.3880952,11.17741935,4.135291859
University of Hildesheim,8,50,15.08333333,6.25,1.885416667
Western Michigan University,19,115,46.65238095,6.052631579,2.455388471
Nova Southeastern University,7,27,8.166666667,3.857142857,1.166666667
Claremont Graduate University,1,1,0.5,1,0.5
Izmir Institute of Technology,5,21,6.133333333,4.2,1.226666667
University of California at Santa Cruz,5,35,5.109126984,7,1.021825397
University of New Orleans,5,17,4.666666667,3.4,0.933333333
FURG Federal University of Rio Grande,20,148,39.46190476,7.4,1.973095238
Towson University,12,38,12.61190476,3.166666667,1.050992063
University of Tennessee at Chattanooga,5,25,7.083333333,5,1.416666667
TU Clausthal,7,20,6.333333333,2.857142857,0.904761905
University of Bern,44,1480,605.9666667,33.63636364,13.7719697
University of Arkansas - Little Rock,2,4,1.333333333,2,0.666666667
Institute for Research in Fundamental Sciences (IPM),8,64,16.99393939,8,2.124242424
KMUTNB,19,251,35.65707071,13.21052632,1.876687932
BITS Pilani,2,2,0.590909091,1,0.295454545
Jordan University of Science and Technology,1,1,0.25,1,0.25
Westlake University,85,7386,2146.922222,86.89411765,25.2579085
IIT Mandi,3,9,6,3,2
Yıldız Technical University,1,1,0.333333333,1,0.333333333
